experiment_id,run_id,round,agent_name,product_id,advertised_quality,actual_quality,is_deception
r_wsc_F_policy_making,1,1,seller_0,,HQ,unknown,False
r_wsc_F_policy_making,1,1,seller_0,,LQ,unknown,False
r_wsc_F_policy_making,1,1,seller_1,,HQ,unknown,False
r_wsc_F_policy_making,1,1,seller_1,,LQ,unknown,False
r_wsc_F_policy_making,1,1,seller_2,,HQ,unknown,False
r_wsc_F_policy_making,1,1,seller_2,,LQ,unknown,False
r_wsc_F_policy_making,1,1,seller_3,,HQ,unknown,False
r_wsc_F_policy_making,1,1,seller_3,,LQ,unknown,False
r_wsc_F_policy_making,1,1,seller_4,,HQ,unknown,False
r_wsc_F_policy_making,1,1,seller_5,,HQ,unknown,False
r_wsc_F_policy_making,1,1,seller_6,,HQ,unknown,False
r_wsc_F_policy_making,1,1,seller_6,,LQ,unknown,False
r_wsc_F_policy_making,1,1,seller_7,,HQ,unknown,False
r_wsc_F_policy_making,1,1,seller_8,,HQ,unknown,False
r_wsc_F_policy_making,1,1,seller_8,,LQ,unknown,False
r_wsc_F_policy_making,1,1,seller_9,,HQ,unknown,False
r_wsc_F_policy_making,1,2,seller_0,,LQ,unknown,False
r_wsc_F_policy_making,1,2,seller_1,,LQ,unknown,False
r_wsc_F_policy_making,1,2,seller_1,,HQ,unknown,False
r_wsc_F_policy_making,1,2,seller_2,,HQ,unknown,False
r_wsc_F_policy_making,1,2,seller_2,,LQ,unknown,False
r_wsc_F_policy_making,1,2,seller_3,,HQ,unknown,False
r_wsc_F_policy_making,1,2,seller_3,,LQ,unknown,False
r_wsc_F_policy_making,1,2,seller_4,,HQ,unknown,False
r_wsc_F_policy_making,1,2,seller_5,,HQ,unknown,False
r_wsc_F_policy_making,1,2,seller_5,,LQ,unknown,False
r_wsc_F_policy_making,1,2,seller_6,,LQ,unknown,False
r_wsc_F_policy_making,1,2,seller_6,,HQ,unknown,False
r_wsc_F_policy_making,1,2,seller_7,,HQ,unknown,False
r_wsc_F_policy_making,1,2,seller_8,,HQ,unknown,False
r_wsc_F_policy_making,1,2,seller_8,,LQ,unknown,False
r_wsc_F_policy_making,1,2,seller_9,,HQ,unknown,False
r_wsc_F_policy_making,1,3,seller_0,,LQ,unknown,False
r_wsc_F_policy_making,1,3,seller_1,,LQ,unknown,False
r_wsc_F_policy_making,1,3,seller_1,,HQ,unknown,False
r_wsc_F_policy_making,1,3,seller_2,,HQ,unknown,False
r_wsc_F_policy_making,1,3,seller_2,,LQ,unknown,False
r_wsc_F_policy_making,1,3,seller_3,,HQ,unknown,False
r_wsc_F_policy_making,1,3,seller_3,,LQ,unknown,False
r_wsc_F_policy_making,1,3,seller_4,,HQ,unknown,False
r_wsc_F_policy_making,1,3,seller_5,,HQ,unknown,False
r_wsc_F_policy_making,1,3,seller_5,,LQ,unknown,False
r_wsc_F_policy_making,1,3,seller_6,,LQ,unknown,False
r_wsc_F_policy_making,1,3,seller_6,,HQ,unknown,False
r_wsc_F_policy_making,1,3,seller_7,,HQ,unknown,False
