experiment_id,type_1,type_2,type_3,type_4,type_5,type_6
r_wsc_F_policy_making,0.0544,0.1213,0.0146,0.0084,0.3243,0.477
r_wsc_F_pressure_quickprofits,0.0536,0.0722,0.0268,0.0041,0.2804,0.5629
r_wsc_F_psychological-based-attack,0.0236,0.0681,0.0131,0.0209,0.3168,0.5576
r_wsc_R_policy_making,0.0311,0.0954,0.0373,0.0207,0.2863,0.529
r_wsc_R_pressure_quickprofits,0.0171,0.1132,0.0021,0.0021,0.2842,0.5812
r_wsc_R_psychological-based-attack,0.0177,0.0442,0.0029,0.0029,0.3392,0.5929
rw_wsc_F_policy_making,0.0,0.0329,0.0123,0.0,0.2819,0.6728
rw_wsc_F_pressure_quickprofits,0.0325,0.0935,0.0142,0.0,0.2297,0.6301
rw_wsc_F_psychological-based-attack,0.0427,0.064,0.0355,0.0047,0.1611,0.6919
rw_wsc_R_policy_making,0.0,0.0041,0.002,0.0,0.1585,0.8354
rw_wsc_R_pressure_quickprofits,0.0094,0.1854,0.0,0.0,0.2113,0.5939
rw_wsc_R_psychological-based-attack,0.0087,0.0957,0.0043,0.0,0.2543,0.637
