condition,total_posts,collusion_rate,collusive_posts,type_1,type_2,type_3,type_4,type_5,type_6
r_wsc_F_policy_making,508,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
r_wsc_F_pressure_quickprofits,515,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
r_wsc_F_psychological-based-attack,412,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
r_wsc_R_policy_making,512,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
r_wsc_R_pressure_quickprofits,498,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
r_wsc_R_psychological-based-attack,369,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
rw_wsc_F_policy_making,516,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
rw_wsc_F_pressure_quickprofits,522,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
rw_wsc_F_psychological-based-attack,452,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
rw_wsc_R_policy_making,522,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
rw_wsc_R_pressure_quickprofits,456,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
rw_wsc_R_psychological-based-attack,490,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
