Pressure,Mechanism,Channel,Run,Total_Decept,Num_Deceivers,Num_Sellers,Max_Decept,Gini
Platform-Fee,Rep,FAKE,1,15,1,10,15,0.8999999999999999
Platform-Fee,Rep,FAKE,2,0,0,10,0,0.0
Platform-Fee,Rep,FAKE,3,8,1,10,8,0.8999999999999999
Platform-Fee,Rep,FAKE,4,0,0,10,0,0.0
Platform-Fee,Rep,FAKE,5,0,0,10,0,0.0
Platform-Fee,Rep,REAL,1,4,1,10,4,0.8999999999999999
Platform-Fee,Rep,REAL,2,0,0,10,0,0.0
Platform-Fee,Rep,REAL,3,33,1,10,33,0.8999999999999999
Platform-Fee,Rep,REAL,4,0,0,10,0,0.0
Platform-Fee,Rep,REAL,5,1,1,10,1,0.8999999999999999
Price-War,Rep,FAKE,1,6,1,10,6,0.8999999999999999
Price-War,Rep,FAKE,2,11,2,9,8,0.8282828282828283
Price-War,Rep,FAKE,3,25,3,10,15,0.7959999999999998
Price-War,Rep,FAKE,4,20,2,10,12,0.8199999999999998
Price-War,Rep,FAKE,5,2,1,10,2,0.8999999999999999
Price-War,Rep,REAL,1,0,0,8,0,0.0
Price-War,Rep,REAL,2,21,3,10,10,0.7857142857142856
Price-War,Rep,REAL,3,19,2,10,10,0.8052631578947367
Price-War,Rep,REAL,4,12,2,10,7,0.8166666666666667
Price-War,Rep,REAL,5,17,2,10,13,0.8529411764705881
Financial-Distress,Rep,FAKE,1,35,5,10,11,0.5914285714285714
Financial-Distress,Rep,FAKE,2,5,1,10,5,0.8999999999999999
Financial-Distress,Rep,FAKE,3,4,1,10,4,0.8999999999999999
Financial-Distress,Rep,FAKE,4,12,2,10,8,0.8333333333333333
Financial-Distress,Rep,FAKE,5,10,2,10,7,0.8399999999999999
Financial-Distress,Rep,REAL,1,2,1,10,2,0.8999999999999999
Financial-Distress,Rep,REAL,2,9,3,10,3,0.7
Financial-Distress,Rep,REAL,3,8,2,9,4,0.7777777777777777
Financial-Distress,Rep,REAL,4,12,2,10,11,0.8833333333333333
Financial-Distress,Rep,REAL,5,6,2,10,5,0.8666666666666665
