RQ,Comparison,Metric,Rep-only (mean±std),Detected/Total,p-value,Sig,Cohen's d,n (runs),Rep (mean±std),Rep+Warrant (mean±std),n_a,n_b,Constraint,"Rep, Comm (mean±std)","Rep+Warrant, Comm (mean±std)"
RQ1,Rep-only intention level,Detection Rate (exit_strategy),97.6±1.5,488/500,N/A,N/A,N/A,5.0,,,,,,,
RQ1,Rep-only intention level,Detection Rate (initial_window),4.4±5.4,22/500,N/A,N/A,N/A,5.0,,,,,,,
RQ1,Rep-only intention level,Detection Rate (reentry),53.2±7.6,266/500,N/A,N/A,N/A,5.0,,,,,,,
RQ1,Rep-only intention level,Detection Rate (reputation_lag),3.8±1.1,19/500,N/A,N/A,N/A,5.0,,,,,,,
RQ1,Rep-only intention level,Detection Rate (value_imbalance),21.6±5.0,108/500,N/A,N/A,N/A,5.0,,,,,,,
RQ2,Rep vs Rep+Warrant (no communication),Seller Profit,,,0.1508,ns,-1.47,,1177.4±245.1,1437.4±49.2,5.0,5.0,,,
RQ2,Rep vs Rep+Warrant (no communication),Buyer Utility,,,0.0952,ns,-2.11,,1119.4±207.2,1437.4±49.2,5.0,5.0,,,
RQ2,Rep vs Rep+Warrant (no communication),Deceptions,,,0.0073,**,1.98,,5.8±4.1,0.0±0.0,5.0,5.0,,,
RQ2,Rep vs Rep+Warrant (no communication),Dishonest Profit,,,0.0073,**,1.98,,34.8±24.9,0.0±0.0,5.0,5.0,,,
RQ3,Rep vs Rep+Warrant under seller communication,Seller Profit,,,0.0317,*,-1.75,,,,5.0,5.0,Platform-Fee,1229.6±201.3,1496.0±75.7
RQ3,Rep vs Rep+Warrant under seller communication,Buyer Utility,,,0.0159,*,-2.22,,,,5.0,5.0,Platform-Fee,1169.6±174.4,1452.0±45.4
RQ3,Rep vs Rep+Warrant under seller communication,Deceptions,,,0.5959,ns,0.37,,,,5.0,5.0,Platform-Fee,6.0±4.1,4.4±4.6
RQ3,Rep vs Rep+Warrant under seller communication,Dishonest Profit,,,0.5959,ns,0.37,,,,5.0,5.0,Platform-Fee,36.0±24.4,26.4±27.4
RQ3,Rep vs Rep+Warrant under seller communication,Seller Profit,,,0.6905,ns,-0.76,,,,5.0,5.0,Price-War,1429.0±134.3,1506.2±52.6
RQ3,Rep vs Rep+Warrant under seller communication,Buyer Utility,,,1.0000,ns,-0.49,,,,5.0,5.0,Price-War,1407.0±168.1,1468.2±50.7
RQ3,Rep vs Rep+Warrant under seller communication,Deceptions,,,1.0000,ns,-0.29,,,,5.0,5.0,Price-War,2.2±3.5,3.8±6.9
RQ3,Rep vs Rep+Warrant under seller communication,Dishonest Profit,,,1.0000,ns,-0.29,,,,5.0,5.0,Price-War,13.2±21.0,22.8±41.7
RQ3,Rep vs Rep+Warrant under seller communication,Seller Profit,,,0.5476,ns,-0.69,,,,5.0,5.0,Financial-Distress,1419.2±239.3,1539.6±60.7
RQ3,Rep vs Rep+Warrant under seller communication,Buyer Utility,,,0.0952,ns,-1.00,,,,5.0,5.0,Financial-Distress,1303.2±193.6,1459.6±108.4
RQ3,Rep vs Rep+Warrant under seller communication,Deceptions,,,0.1988,ns,0.28,,,,5.0,5.0,Financial-Distress,11.6±9.2,8.0±15.7
RQ3,Rep vs Rep+Warrant under seller communication,Dishonest Profit,,,0.1988,ns,0.28,,,,5.0,5.0,Financial-Distress,69.6±55.4,48.0±94.5
